Keuwl Accelerometer Data File
2016-06-30 22-22-06

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.3149395,0.584385,4.502637,8.337064,9.493254,28.572899,82.605080
0.3174464,0.732876,4.579278,8.459209,9.647026,28.732664,80.907387
0.3199662,0.651445,4.555327,8.602911,9.756304,28.142199,81.861465
0.3224210,0.543669,4.615203,8.739427,9.898144,28.001423,83.281540
0.3248789,0.622705,4.555327,8.789722,9.919577,27.612984,82.216019
0.3273905,0.550855,4.622388,8.878338,10.024710,27.668951,83.204056
0.3299104,0.553250,4.588858,9.000484,10.117925,27.182211,83.125389
0.3324431,0.390388,4.521797,9.002879,10.082207,26.754026,85.065620
0.3349447,0.407153,4.675078,9.045989,10.190783,27.418861,85.022659
0.3375293,0.368833,4.684659,9.055570,10.202226,27.425900,85.498268
0.3400549,0.287402,4.677474,9.096285,10.232486,27.256977,86.483940
0.3425747,0.198787,4.687053,9.158555,10.290147,27.122793,87.571434
0.3450826,0.208367,4.778064,9.148975,10.323617,27.598215,87.502968
0.3475444,0.148491,4.785249,9.110655,10.291972,27.721453,88.222626
0.3500642,0.117356,4.919370,9.139395,10.379909,28.298601,88.633415
0.3525564,0.035925,4.861890,9.089100,10.307813,28.143618,89.576637
0.3550568,0.059875,5.036726,9.113050,10.412486,28.930868,89.318916
0.3575660,-0.026345,5.022356,9.062755,10.361383,28.994474,90.300545
0.3600821,-0.129331,5.084627,9.050779,10.382040,29.334703,91.457047
0.3626072,-0.081431,5.070257,8.978929,10.311900,29.455879,90.920120
0.3651929,-0.158071,5.122947,8.952583,10.315926,29.791288,91.767334
0.3677778,-0.193997,5.077442,8.938213,10.281523,29.617130,92.188065
0.3703066,-0.210762,5.190008,8.887918,10.294449,30.302908,92.325455
0.3728288,-0.237107,5.166058,8.914263,10.305748,30.119614,92.627861
0.3753460,-0.205972,5.199588,8.789722,10.214566,30.626261,92.268478
0.3778973,-0.213157,5.142107,8.722662,10.127761,30.541353,92.373734
0.3804174,-0.146096,5.146897,8.686736,10.098083,30.656889,91.625923
0.3828785,-0.217947,5.003196,8.677156,10.018609,29.991005,92.494316
0.3853713,-0.141306,5.098997,8.653206,10.044785,30.518812,91.587402
0.3878936,-0.167651,5.075047,8.641231,10.022728,30.439619,91.892044
0.3904114,-0.105381,4.986431,8.598121,9.939983,30.116892,91.210678
0.3929687,-0.064666,5.118157,8.566985,9.979627,30.857294,90.723869
0.3955335,-0.052690,5.120552,8.523875,9.943806,30.995861,90.589554
0.3980752,-0.052690,5.118157,8.631651,10.035124,30.667250,90.589828
0.4006089,-0.167651,5.156477,8.588540,10.019001,30.993561,91.862190
0.4031183,-0.160466,5.110972,8.564590,9.974968,30.839319,91.798294
0.4056029,-0.172441,5.233118,8.634046,10.097624,31.233948,91.887321
0.4081230,-0.201182,5.266648,8.885523,10.331049,30.674494,92.187592
0.4105708,-0.198787,5.245093,8.899893,10.332406,30.530680,92.170448
0.4130621,-0.225132,5.192402,9.057964,10.443105,29.846348,92.482674
0.4155554,-0.277822,5.228328,9.108259,10.505855,29.891600,93.041718
0.4180754,-0.447869,5.245093,9.297466,10.684309,29.518322,94.880539
0.4205858,-0.390388,5.225933,9.398057,10.760402,29.144674,94.272179
0.4231440,-0.455054,5.130132,9.556129,10.855640,28.322451,95.068993
